season,climate,country,coolingStrategy,thermalPreference,thermalComfort,indoorTemperature
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,22.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,4,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,22.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,22.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,23.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.7
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,23.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,23.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,23.5
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,23.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,22.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,22.9
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,4,23.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,23.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23.6
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,23.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.1
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,23.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,23.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,23.2
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,23.4
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.8
Summer,Cool-summer mediterranean,USA,Air Conditioned,warmer,2,23.3
Summer,Cool-summer mediterranean,USA,Air Conditioned,no change,4,23.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,21.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,22.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,1,21.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,22.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,2,22.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,22.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,22.3
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,4,22.7
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,23.1
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,21.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,21.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,22
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.7
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,21.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.7
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,21.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,2,21.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,22.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.7
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.1
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,4,22
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.3
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.1
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,22.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,23.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,23.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,4,23.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,3,21.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,23.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,23.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.7
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,23.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,20.7
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,2,20.1
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,20.7
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,20.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,20.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.3
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,25.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.3
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.3
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.3
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,22.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,4,22.1
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,1,20.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,22
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,22.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.3
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.3
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,22.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,22.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,22.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.7
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,22.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,22.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,20.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,20.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,21.1
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.3
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,22
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,20.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,2,20.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,21.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,2,22.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,25.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.3
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,22
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,21.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.7
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,21.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.1
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,21.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,22.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,22.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,20.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,2,19.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.7
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,21.7
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.3
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.7
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,22
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,24.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,23.1
Spring,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,22.8
